Name;Phone;Email;City;Address;WorkingTime
ПУЛЯ;79293251349;lopatkinb@mail.ru;Барнаул;;
Светофор;79994762878;pavelesipenok@yandex.ru;Барнаул;Барнаул, ул. Титова, д. 37.;с 10.00 до 00.00.
Профит;79646037069;Profit2217@yandex.ru;Барнаул;Барнаул, ул. Новороссийская, д.47.;
ООО «Автопарк»;79609475589;in469@mail.ru;Барнаул;Барнаул, ул. Промышленная, д. 104.;
Гараж;79913699635;kovalenkoanna2018@yandex.ru;Барнаул;;
BOOMER;79130828869;lyubovsmolyakowa@yandex.ru;Барнаул;Барнаул, ул. Малахова, д.95;с 10.00 до 19.00, пн-пт.
Лидер;79833504726;chervyakov377@yandex.ru;Барнаул;Барнаул, ул. Солнечная поляна дом 35, кв.225;с 8.00 до 22.00.
Партнер Брн;79132108454;anthon.myalkin@yandex.ru;Барнаул;;
Альфа;79628174159;panta-ray-rock@yandex.ru;Барнаул;;
РосАвтоПрокат;79132723563;Golubev.e.a.35@mail.ru;Барнаул;;
Такси Союз;79132100999;kopilovgorog@yandex.ru;Барнаул;Барнаул, пр. Строителей, д. 43, офис 234;c 9.00 до 17.00, пн-сб.
Автомир;;;Барнаул;;
Мистраль;;;Барнаул;;
АвтоМир+;;;Барнаул;;
Барнаул;;;Барнаул;;
"ООО ""Пилот""";;;Барнаул;;
Автолайн;;;Барнаул;;
Такси 22;;;Барнаул;;
S.i.n.;;;Барнаул;;
ООО ДРАЙВ Барнаул;;;Барнаул;;
Народный;;;Барнаул;;
АБ Центр;;;Барнаул;;
Мирный031;79997003145;SERGEJ.POPKOV.1993@yandex.ru;Белгород и область;Белгород, ул. Коммунальная, д. 2/1.;с 9.00 до 18.00.
Арт31;79623070540;dmitryilysak@yandex.ru;Белгород и область;;
Метелица;79803863626;avtoparc@yandex.ru;Белгород и область;;
Таксон31;79155724929;sasha_ig@mail.ru;Белгород и область;;
Пилот;74722407080;pilotbelgorod@yandex.ru;Белгород и область;;
ЗаяцАвто;79611637020;s.al.saenko@yandex.ru;Белгород и область;;
КРЕАТИВ;79997009097;kreativ-31@yandex.ru;Белгород и область;;
ВиРус;79205755571;Rkhodykin@yandex.ru;Белгород и область;;
Taxi City;79051737979;aleksanderkursky@yandex.ru;Белгород и область;;
Альфа;79194399888;belgorod-taxi-alfa@yandex.ru;Белгород и область;;
ИП Шевелёв Е И;79205911018;shevelev_e@mail.ru;Белгород и область;;
Такси-Фора;79300880011;antonov.bel@mail.ru;Белгород и область;;
Людмила;79606259361;dangoretov@yandex.ru;Белгород и область;;
Автофлот;;;Белгород и область;;
Салют;;;Белгород и область;;
АВРОРА;;;Белгород и область;;
Пегас;;;Белгород и область;;
ИРБИС 31;;;Белгород и область;;
Дубровка;;;Белгород и область;;
Мега;;;Белгород и область;;
ФОРТУНА31;;;Белгород и область;;
5 Звёзд;;;Белгород и область;;
ТАКСОВИК;;;Белгород и область;;
Планета;;;Белгород и область;;
Сокол;;;Белгород и область;;
Индекс;79116002160;info.index53@yandex.ru;Великий Новгород и область;;
Такси Мини;637997;Aleksan.59@yandex.ru;Великий Новгород и область;;
VNtaxi;;;Великий Новгород и область;;
Звездный;;;Великий Новгород и область;;
ИП Николаенко;79084406606;t4xi@yandex.ru;Владивосток и Приморский край;;
Шанс;79146800020;chancetaxi@yandex.ru;Владивосток и Приморский край;;
АЛЮР-АВТО;79046271111;aluravto@gmail.com;Владивосток и Приморский край;Владивосток, ул. 40 лет ВЛКСМ,  д.17.;Круглосуточно.
Ритм Автоплатеж;79940054001;Ritmrf@yandex.ru;Владивосток и Приморский край;;
КИМ;79147052557;2752557@gmail.com;Владивосток и Приморский край;Владивосток, ул. Крыгина, д. 105.;с 10.00 до 18.00.
Avtomili;79089618185;yumilit@yandex.ru;Владивосток и Приморский край;;
Ника;79240041333;nika.vlady@yandex.ru;Владивосток и Приморский край;;
Биллион;79147034426;tvd-vvo@yandex.ru;Владивосток и Приморский край;Владивосток, ул. Советская, 2А стр 3;с 10.00 до 18.00, Пн-Пт.
Автотрейд-м;79147966750;avtotrade-m.vl@yandex.ru;Владивосток и Приморский край;;
Комфорт ДВ;79147075778;Comfortdv@yandex.ru;Владивосток и Приморский край;Владивосток, ул. Калинина, д. 84с1, офис 14;с 9.00 до 17.00, Пн-Пт.
Тринадцать;79020584415;svetlanka_pr@mail.ru;Владивосток и Приморский край;;
Avto_SKY;79146727752;avto.sky.avto@yandex.ru;Владивосток и Приморский край;;
Мистраль;;;Владивосток и Приморский край;;
Эгершельд;;;Владивосток и Приморский край;;
ТВД Сервис;;;Владивосток и Приморский край;;
ФОРКИС.АВТО;;;Владивосток и Приморский край;;
АТЛАНТ [ВЛАДИВОСТОК];;;Владивосток и Приморский край;;
Экспансия Сибирь;;;Владивосток и Приморский край;;
Парк Рио;79610855520;park-rio11605854-vlg@yandex.ru;Волгоград и область;;
Таксопарк 34;79275115045;stepanyan-serj@yandex.ru;Волгоград и область;ул. Рокоссовского, д.29Б.;с 9.00 до 18.00.
На Линии;79616622216;parkpost14@yandex.ru;Волгоград и область;;
Роут 34;79608947747;kseniya.motorina28@yandex.ru;Волгоград и область;ул. пр-т имени Жукова, д. 31, офис 301.;с 9.00 до 19.00, Пн-Сб.
BREND34;79996286132;BREND34VLG@yandex.ru;Волгоград и область;;
ИРС (ВЛГ);78442605070;irstaxi@yandex.ru;Волгоград и область;ул. Менжинского, д. 23Б.;с 9.00 до 18.00, Пн-Пт.
Красный;79275109909;taxopark134@yandex.ru;Волгоград и область;ул. Качалова, д. 39А.;с 09.00 до 18.00.
vlg.Lider;755650;;Волгоград и область;ул. площадь им. Дзержинского, д. 1, офис 102.;с 9.00 до 17.00.
ИП Амирова Эльвира Климовна;79649642255;amirov.part@yandex.ru;Волгоград и область;;
Saturn34;79608880616;Taxsaturn@yandex.ru;Волгоград и область;ул. Карбышева, 1А, кабинет №7;с 9.00 до 16.00, Пн-Пт, с 10.00 до 13.00, сб до Вс.
Flash-Auto;79610744400;Flash-AutoVLG@yandex.ru;Волгоград и область;ул. 40 лет ВЛКСМ, д. 72.;с 9.00 до 17.00
ААА ТК Волжский;79275106101;taxivolgograd@yandex.ru;Волгоград и область;ул. Карла Маркса, д.52;Круглосуточно.
Вираж;966366;motor252525@yandex.ru;Волгоград и область;ул. Морозовская, 1.;с 10.00 до 17.00, Пн-Пт.
Fortuna;79889898909;abdinov.timur@mail.ru;Волгоград и область;;
Таксометр;79616815595;niki937@yandex.ru;Волгоград и область;г. Волжский, ул. Ленина, 25Б.;с 9.00 до 18.00, Пн-Пт.
Премиум momentum;79275049992;eraliewdamir@yandex.ru;Волгоград и область;ул. Маршала Воронова, 14.;Круглосуточно.
Рублевка;79696506550;xai5436@yandex.ru;Волгоград и область;г.Волжский, ул. Дружбы, 83А, 2этаж, офис №7.;с 10.00  до  17.30, Пн-Пт.
Люкс;79996257597;luxurytaxi.sokolov@yandex.ru;Волгоград и область;Волгоградская область, г. Волгоград, ул. Грушевская, д.10;с 9.00 до 18.00, Пн-Пт.
"ООО ""Микс-Карт Волгоград""";605160;mixcart.taxi@yandex.ru;Волгоград и область;ул. Баррикадная, 1Б, офис 312.;с 9.00 до 21.00, Пн-Пт.
ООО АВИС;79880133418;12www97@bk.ru;Волгоград и область;пр-т Ленина, 98Л.;
ТЕМП 34;79064000410;taxopark.temp@yandex.ru;Волгоград и область;г.Волгоград, ул. Баррикадная, д. 24\30, оф. 26.;Круглосуточно.
Grand TK;78007007485;Vlgtaxi34@yandex.ru;Волгоград и область;ул. Землянского, 1, офис 10.;с 9.00 до 17.00, Пн-Пт.
ПАНДА;560888;Pandadovezi@yandex.ru;Волгоград и область;ул. Рабоче-Крестьянская, 44, офис 25.;с 9.00 до 17.00, Пн-Пт.
Город;79377192419;Prokatavto-34@yandex.ru;Волгоград и область;;
АИРусс;79026589979;airuss2018@yandex.ru;Волгоград и область;ул. пр-т Ленина, д.89;с 9.00 до 17.00.
Такси 777;;;Волгоград и область;;
Блиц-Такси;;;Волгоград и область;;
Вежливое Такси;;;Волгоград и область;;
Таксопарк 034;;;Волгоград и область;;
Наше Такси;;;Волгоград и область;;
BERGER Drive;;;Волгоград и область;;
BORDER;;;Волгоград и область;;
Гранд Авто;;;Волгоград и область;;
"ООО ""СИТИ-ТАКС""";;;Волгоград и область;;
Северный Путь;;;Волгоград и область;;
БЛИЦ-2019;;;Волгоград и область;;
Космос;;;Волгоград и область;;
Форсаж 134;;;Волгоград и область;;
ВиЛи- Моментум;;;Волгоград и область;;
БЛИЦ-2019;;;Волгоград и область;;
06-06-02;;;Волгоград и область;;
Пегас-M;;;Волгоград и область;;
"ТК ""Базис""";;;Волгоград и область;;
230 футов;79056580877;mr.kalininroman@yandex.ru;Воронеж и область;;
Аист;79204077704;AiSt012019@yandex.ru;Воронеж и область;ул. Челюскинцев, 101, офис 36.;с 10.00 до 20.00, Пн-Пт.
АЛАДДИН;79038542194;;Воронеж и область;;
Алфавит;79601619779;driver@3taxi.ru;Воронеж и область;;
ВИКТОРИЯ;74733335123;Admin@yandexvrn.ru;Воронеж и область;Воронеж, ул. Ломоносова 2б;с 8.30 до 17.30, Пн-Пт.
Выбор;79525487829;sm.aly@yandex.ru;Воронеж и область;;
Гараж 36;79081478812;Cheprasov1407@yandex.ru;Воронеж и область;ул. Лидии Рябцевой, 42, офис 9.;с 9.00 до 18.00.
Гараж_ВРН;79042144218;ya2144218@yandex.ru;Воронеж и область;ул. Лидии Рябцевой, 42;с 10.00  до  16.00.
Джокер GOLD;79518513798;largus1013@yandex.ru;Воронеж и область;ул. пр-т Патриотов, д. 43Н, офис 310.;с 10.00 до 17.00, Пн-Пт.
Джокер NEXT;79518513798;largus1013@yandex.ru;Воронеж и область;Пр-кт Патриотов, д.43Н;с 10.00 до 17.00, Пн-Пт.
ДРАЙВ;79019935333;driver-vrn@mail.ru;Воронеж и область;ул. 9 января, д. 231А;с 10.00 до 19.00, Пн-Пт.
ЕКХ;79515620890;EKX36R@yandex.ru;Воронеж и область;;
ИП Свиридов Василий Евгеньевич;79192316666;sviridov-vrn@yandex.ru;Воронеж и область;ул. Кривошеена, 66Б/2.;с 9.00 до 18.00, Пн-Пт, с 10.00 до 16.00, Сб.
Каскад;79038586199;;Воронеж и область;ул. 20-летия Октября, 33, офис 5.;с 10.00 до 18.00, Пн-Пт.
Ласточка Воронеж;79056563586;lastochka_vrn@mail.ru;Воронеж и область;;
Местные;74732954951;Kaminsckyalexandr@yandex.ru;Воронеж и область;;
Норма;79204480789;norma-vrn11495622@yandex.ru;Воронеж и область;;
"ООО ""Форд-Сити""";2758888;taxi-gorod@bk.ru;Воронеж и область;ул.Антонова-Овсеенко, д.7, оф.401;с 8.00 до 17.00.
Пиксель;79042110084;Pixel-taxi@yandex.ru;Воронеж и область;;
Союз;79107323262;vrn_biplan@mail.ru;Воронеж и область;ул. Хользунова, д. 107а.;с 9.00 до 18.00, Пн-Пт.
Такси ДОН;79191817007;elavlinski007@gmail.com;Воронеж и область;ул. Коперника, д.67.;с 9.00 до 18.00.
Таксоход;79202283159;yakor136@yandex.ru;Воронеж и область;ул. Лизюкова, 17;с 10.00 до 18.00, Пн-Пт.
Феникс;79066776888;fenixvrn2016@gmail.com;Воронеж и область;ул. Генерала Лизюкова, д.61В.;с 10.00 до 18.00, Пн-Пт, с 10.00 до 16.00, Сб.
AlfaTaxi;79518683147;alfataxi13212942@yandex.ru;Воронеж и область;г. Воронеж ул. Грамши 73 Б;с 9.00 до 18.00, Пн-Пт, с 9.00 до 16.00, Сб.
Nero;79009259019;Neropark@yandex.ru;Воронеж и область;;
Platinum;74732286123;Platinum-taxivrn@yandex.ru;Воронеж и область;ул. Матросова, 47, офис 303.;с 10.00 до 18.00, Пн-Пт.
RAID;74732994000;yandex@lekar.store;Воронеж и область;пер. Серафимовича, д.32А, офис 221.;Круглосуточно.
RED STAR Taxi;79601242411;taksi136-3@yandex.ru;Воронеж и область;ул. Волгоградская, 42А.;с 9.00 до 19.00, Пн-Пт.
VATT;79081442395;vkletchatom@mail.ru;Воронеж и область;;
Губерния;;;Воронеж и область;;
Призма;;;Воронеж и область;;
Марсель Воронеж;;;Воронеж и область;;
Гранд-Авто;;;Воронеж и область;;
АвтоПрофи;;;Воронеж и область;;
АРМАГЕДДОН;;;Воронеж и область;;
ГрандКар 2.0;;;Воронеж и область;;
Уберлин;;;Воронеж и область;;
BORDER;;;Воронеж и область;;
Чайка_Врн;;;Воронеж и область;;
Звездный;;;Воронеж и область;;
Такси Блюз;;;Воронеж и область;;
Я. Форсаж;79127445888;forsazh-msc@yandex.ru;Ижевск;;
18район;73412643484;job-izh@yandex.ru;Ижевск;;
шефмобиль.рф;73412773638;evamobile@yandex.ru;Ижевск;ул. Маяковского, д. 1А.;с 9.00 до 18.00, Пн-Пт.
time 2209 izhevsk;79090663878;solsss@list.ru;Ижевск;ул. 8-ого марта, д. 16А, офис 102.;с 9.00 до 16.00, Пн-Пт.
com.dil - Izh;79225050577;com.dil@mail.ru;Ижевск;ул. Маяковского, д. 35.;с 9.00 до 17.00.
ТАЧКИ;73412771120;;Ижевск;ул. Удмуртская, д. 255В.;
Легион18Иж;79913988353;legion-taxilegion@yandex.ru;Ижевск;ул. Маяковского 21 офис 26;с 9.00 до 17.00, Пн-сб.
АС МОТОРС;79658513000;Konyshev0796@yandex.ru;Ижевск;ул.Воткинское шоссе,49;с 10.00 до 17.00.
Гранит;79641826000;;Ижевск;;
Перевозчик;79225175056;PerevozIzh@yandex.ru;Ижевск;ул. Красная, д. 122А, офис 19;с 12.00 до 15.00.
Экспресс;79043148632;park234595@yandex.ru;Ижевск;г.Ижевск, ул. Максима Горького, д. 43, офис 211;с 9.00 до 14.00, Пн-Пт.
Космос;79199078539;ales.korovin@yandex.ru;Ижевск;;
Мегаполис;79828197117;megapolis018@yandex.ru;Ижевск;;
АвтоПрофи;;;Ижевск;;
Олимп;;;Ижевск;;
Техномедиа;;;Ижевск;;
Мир;;;Ижевск;;
Мир18;;;Ижевск;;
АвтоЛайн;;;Ижевск;;
TACHKI;;;Ижевск;;
Молния 18;;;Ижевск;;
Белка;;;Ижевск;;
Союз 18;;;Ижевск;;
Комфорт;79377711558;;Казань;;
Миллениум;79674691382;Markov.rf@yandex.com;Казань;ул. Халитова, д.4к4.;с 9.00 до 21.00.
bro.taxi;78432038520;martynayu@yandex.ru;Казань;ул. Аделя Кутуя, д. 167.;с 10.00 до 20.00.
ЭР_Авто;79270391615;t2391615@gmail.com;Казань;ул. проспект Фатыха Амирхана, д. 30.;с 10.00 до 17.00.
AvtoAP;79377730006;AvtoAP-KZN@yandex.ru;Казань;;
Drive Auto;78432454547;chulpanauto@yandex.ru;Казань;ул. Родины, д.41.;
Гарант;79274233944;;Казань;ул. Гаврилова, д. 10А.;с 9.00 до 17.00.
Максавто;2163222;amir38mannpov@yandex.ru;Казань;ул. Салиха Сайдашева, 12, офис 227.;с 9.00 до 18.00, Пн-Пт.
Блэк Стар;79872344585;Ganieva73@inbox.ru;Казань;г.Казань, ул. Четаева,33;с 10.00 до 18.00, Пн-Пт
Кирыч;79539987202;kirillzinowiev@yandex.ru;Казань;;
Гарант;79063290384;Taxiya.garantkazan@yandex.ru;Казань;ул.пр. Х. Ямашева, д.46/33;с 9.00 до 18.00.
Vip;79520488818;Kzn_Vip@bk.ru;Казань;;
ПАРТНЕР КЗН;79274923792;e-taxikazan@yandex.ru;Казань;ул. Роторная, 1В.;с 10.00 до 18.00.
LuckyPark;79950112775;luckyparkcity@yandex.ru;Казань;ул. Коммунистическая, 13.;с 6.00 до 16.00, Пн-Пт.
КАМАВТО;79393364774;Lena.kamalieva@yandex.ru;Казань;;
Такси Мотор;79625645140;taximotorkzn@yandex.ru;Казань;ул. Роторная, 1В;с 9.00 до 18.00.
ООО ЮЛАВТО;79003220003;yulavto-dk@yandex.ru;Казань;ул. Оренбургский тракт, 160, офис 208.;с 10.00 до 16.00.
Такси-Класс г.Казань;79662500300;dinar14@ya.ru;Казань;ул. Родины, 7.;с 8.00 до 20.00.
Доктор авто;79274069596;Corredor86@yandex.ru;Казань;;
Avtocar16;78432595900;avtocar16@yandex.ru;Казань;;
Авангард;79655850523;shulgindv1985@yandex.ru;Казань;;
Победа-Казань;79600572424;pobedadriver@list.ru;Казань;ул. Тинчурина, 25.;
ЭТАЛОН;79046692508;;Казань;;
Гараж;2463365;;Казань;ул. Волгоградская, д.8к1;с 10.00  до  19.00, Пн-Пт.
ТрансКлассСервис;79662600600;ooo.trans-klass-service@yandex.ru;Казань;г. Казань, ул. Аметьевская магистраль д. 9, 2 этаж;с 9.00 до 18.00, Пн-Пт, с 10.00 до 15.00, Сб.
Автоквартал;79270391235;avto.kvartal16@yandex.ru;Казань;;
AUTOPARK;79325323310;orenburgavtopark@gmail.com;Казань;;
ZeelantFD;79179351485;artemk77@gmail.com;Казань;;
АвтоРитет;79274098381;ilnur.1221@yandex.ru;Казань;ул. Залесная, д. 130А;с 9.00 до 19.00, Пн-Пт.
Radfar;79274137392;rad-far@mail.ru;Казань;ул. Бухарская, 4.;с 9.00 до 18.00, Пн-Пт.
Klaxonkzn;79274102134;Klaxonkzn@yandex.ru;Казань;ул. Парижской коммуны, д. 25/39;с 9.00 до 19.00, Пн-Сб, с 9.00 до 16.00, Вс.
Five wheels;79503162294;fivewheels90@mail.ru;Казань;;
Фаворит Казань;74953749887;favorit777msk@yandex.ru;Казань;;
Такси 2;77965596040;;Казань;ул. Вересаево, 69Б.;
ТК МОБИЛ;79274585545;k.bulat817@yandex.ru;Казань;;
Столичный Извозчик;79093137737;xxx4595@mail.ru;Казань;Проспект Победы , д.100, ДЦ Долина Изобилия, офис 1;с 10.00 до 16.00, Пн-Пт.
Олрус Авто;79872154415;olrusauto@mail.ru;Казань;ул. Космонавтов, 42А, офис 22.;с 10.00 до 18.00, Пн-Пт.
ИП Котков А.С.;79178902160;Aleksandar.kotkoff@yandex.ru;Казань;Ул. Васильченко д.1 корп 153 оф.121б;с 10.00 до 18.00, Пн-Пт,  с 17.00 до 21.00, Сб-Вс.
МОТОРС;78432495460;taximotors116@yandex.ru;Казань;ул. Закиева, 12А.;с 9.00 до 17.00.
ИП Хусинов;;;Казань;;
Ecopark;;;Казань;;
Такси Прайм Казань;;;Казань;;
Успех;;;Казань;;
ИП Хамдамов;;;Казань;;
Вектор;;;Казань;;
Голд парк;;;Казань;;
Звёздный;;;Казань;;
Юпитер;;;Казань;;
Ип Забиров;;;Казань;;
ЕвроЛайн Карс;;;Казань;;
Рапид41;;;Казань;;
ЮМИ;;;Казань;;
Лайтком;;;Казань;;
Голд Стар;;;Казань;;
ТимерЛайн;;;Казань;;
AutoLine;;;Казань;;
KZNCity24;;;Казань;;
БОМБИЛА№1м;;;Казань;;
КАЗАНАВТО КЛУБ;;;Казань;;
Элита;;;Казань;;
Петрович;;;Казань;;
"ООО ""Блэк Стар""";;;Казань;;
Султан Плюс;;;Казань;;
Elit_Transfer;;;Казань;;
Профи;79615246289;alexandershapran@yandex.ru;Краснодар;;
Cklimkar;79614575073;cklimkar@yandex.ru;Краснодар;ул. Героя Яцкова,  д. 1/10.;с  8.00 до 20.00.
Викарт;734116144;vikart123@yandex.ru;Краснодар;"ул. Онежская, д. 60, литер ""В"".";
Platinum;79615944386;postal1708@yandex.ru;Краснодар;;
Центр.Такси;79054956495;centr.taxi495@yandex.ru;Краснодар;ул. Новороссийская, д.5.;с 10.00 до 18.00.
Cab.Yug;79885248507;cab.yug@yandex.ru;Краснодар;ул. Крупской, д. 33.;с 11.00 до 19.00.
ликана;79652230408;teimur.curbanov@yandex.ru;Краснодар;ул. Артюшкова, д. 23.;с  7.00 до 23.59.
ИП Макаров В.А.;79288475156;krdtaxi13@yandex.ru;Краснодар;ул. Красных партизан, д. 249.;
Региональное;79898096573;89898096573@mail.ru;Краснодар;ул. Дальняя, д. 39/1.;с 7.00 до 22.00.
Три таксиста;79282077093;das9977@ya.ru;Краснодар;;
Иосифов;79654609484;Vjbctq177@mail.ru;Краснодар;ул. Маяковского, д. 162/1,  офис 1.;с 9.00 до 18.00.
Альянс;79676564501;Alyans-Krasnodar23rus@yandex.ru;Краснодар;ул. Скобелева, д.1.;с 9.00 до 17.00.
Гранд_Парк;79094447287;juli27.09@mail.ru;Краснодар;ул. Чекистов,  д. 27.;с 8.00 до 21.00.
Гудпарк;79002700200;perovakrd@yandex.ru;Краснодар;ул. Селезнева, д. 2/5.;с 8.00 до 18.00.
А111;79528716286;b0rsh.krd@yandex.ru;Краснодар;ул. Новороссийская, д. 3/12.;с 10.00 до 17.00.
Экипаж;79298426658;pelih.galka@yandex.ru;Краснодар;;
Дилижанс;78612172310;taxy-deligans@yandex.ru;Краснодар;;
АВТОЛЮКС 123;79388686020;DIMA120484K@yandex.ru;Краснодар;ул. Дзержинского, д. 175.;с 10.00 до 18.00.
ПростоTaxsee;79180858787;JustTaxsee@yandex.ru;Краснодар;;
ПростоТакси;79180858787;wicked.provoker@yandex.ru;Краснодар;;
Таксопарк ЮГА №1;79654607774;vladislav474@yandex.ru;Краснодар;ул. Солнечная, д. 25, оф. 1.;
Паскаль;79184388774;karpenkomaykop@yandex.ru;Краснодар;;
Слияние;79298334341;profavto-k@yandex.ru;Краснодар;ул. Маяковского, д. 162/1, офис 1.;с 9.00 до 18.00, Пн-Пт, с 10.00 до 16.00, Сб.
Первый;79964176451;tax-1.krasnodar@yandex.ru;Краснодар;;
ООО Юнити;79180885188;unitykrasnodar@yandex.ru;Краснодар;ул. им.  Стасова, д. 178, корпус 2Ш.;
АВТОСОЮЗ;79898196060;Hose218352@gmail.com;Краснодар;ул. Российская, д. 28 лит. Ж, офис 11А.;с 10.00 до 16.00.
"ООО ""ККЮК""";79094656181;89094656181@YANDEX.RU;Краснодар;;
ИП Амиров Тимур;79649642255;amirov.part@yandex.ru;Краснодар;;
ИП Амирова Эльвира Климовна;79649642255;amirov.part@yandex.ru;Краснодар;;
СПБ-информ;79889558811;spbkrasnodar@mail.ru;Краснодар;;
Люкс;79184664444;amt-lux@ya.ru;Краснодар;ул. Камвольная,  д. 8.;с 10.00 до 17.00.
taxidrive;79898003120;drivertax@yandex.ru;Краснодар;;
Инновация;79676540150;nikolaevih.72@mail.ru;Краснодар;;
Автосоюз 23;79181527323;Maksim.Belenchenkov@yandex.ru;Краснодар;;
Такси Мир;79678048934;Alex197591@yandex.ru;Краснодар;;
04-10-00;79002442025;tiv1966trunov@yandex.ru;Краснодар;ул. Снесарева, 4;с 9.00 до 18.00, Пн-Сб.
АвтоЛига;79183300065;avtoliga001@yandex.ru;Краснодар;г. Краснодар, ул. Новороссийская, 174, 1 этаж, офис 7;с 7.00 до 19.00.
Гудзон;79628569999;gudzonpark@yandex.ru;Краснодар;;
Союз водителей;79648933877;souzvoditeley@yandex.ru;Краснодар;ул. Кожевенная, д.18, офис 28, 3й этаж.;с 9.30 до 16.00, Пн-Пт.
Юг-Авто;79182660309;av-p@list.ru;Краснодар;г.Краснодар ул. Первомайская, д.36;с 08.00 до 21.00, Пн-Пт, с 9.00 до 18.00, Сб.
24rent;79183242456;krd24rent@yandex.ru;Краснодар;г. Краснодар, ул. Российская, 361\4;с 9.00 до 18.00.
Город дорог;79384085858;;Краснодар;;
FormatAvto;79184414045;Thesecret071@gmail.com;Краснодар;;
СПК-2;79604949979;usenko.spk@yandex.ru;Краснодар;Краснодар, ул. Сормовская, д.3;с 9.00 до 18.00, Пн-Пт.
Такса-Motor;79183923039;taxa-soyuz@yandex.ru;Краснодар;г. Краснодар, ул.Гоголя, 135;
Метропарк-Краснодар;79186276111;metropark.krd@yandex.ru;Краснодар;г. Краснодар, ул. Рашпилевская, д. 321/1;с 9.00 до 16.00, Пн-Пт, с 8.00 до 11.00, Сб-Вс.
Energy;79883352244;Andrey1540@mail.ru;Краснодар;г. Краснодар, ул. Северная 255;с 9.00 до 17.00.
Pro Taxi23;79183458786;protaxi23@mail.ru;Краснодар;ул.40 лет победы, д. 97/2;с 9.00 до 17.00.
КСКраснодар;79186989790;Stellio@bk.ru;Краснодар;ул. Котлярова 17;с 7.00 до 19.00.
ИП Баринова Ольга Алексеевна;79891243226;taxifaeton23@yandex.ru;Краснодар;г. Краснодар, ул. Российская, д. 346;
АвтоПлюс;79182578090;avtoplus.tax@yandex.ru;Краснодар;г. Краснодар, ул. Трамвайная, д. 25, 5 этаж;
ИП Костыря Сергей Николаевич;79034583323;skgrouptaxi@yandex.ru;Краснодар;ул. Передовая, 59;с 9.00 до 18.00.
флагман логистик;79385005228;squortsoveu@yandex.ru;Краснодар;ул.Московская, д. 69а-10;с 10.00 до 18.00.
Федеральное такси;;;Краснодар;;
IP Rudik Evgeniy Gennadevich;;;Краснодар;;
Импульс123;;;Краснодар;;
ИП Иванов Д.П.;;;Краснодар;;
Извозчикъ;;;Краснодар;;
Федеральный Партнер;;;Краснодар;;
Другое Такси;;;Краснодар;;
Гранд авто;;;Краснодар;;
Лидер 23;;;Краснодар;;
ПРОФИ;;;Краснодар;;
Альт-Авто;;;Краснодар;;
PROFISIONAL;;;Краснодар;;
Навигатор Юг;;;Краснодар;;
ИП Дин Алексей Вадимович;;;Краснодар;;
Workcar3;;;Краснодар;;
Пульс;;;Краснодар;;
bro.taxi;;;Краснодар;;
ООО «АНРО»;;;Краснодар;;
AvtoPlato;;;Краснодар;;
ТрансАвто;;;Краснодар;;
Высота;;;Краснодар;;
ПИК Сервис;;;Краснодар;;
495 Крр;;;Краснодар;;
АвтоБенефит;;;Краснодар;;
Альфа;;;Краснодар;;
Профавто Юг;;;Краснодар;;
Паскаль;;;Краснодар;;
АЛЛЕ-ТАКСИ;;;Краснодар;;
СПК;;;Краснодар;;
МА Проф;;;Краснодар;;
